,zip,geoid,res_ratio,bus_ratio,oth_ratio,tot_ratio,city,state
9755,58802,48780,1.0,1.0,1.0,1.0,WILLISTON,ND
9756,58803,48780,1.0,1.0,1.0,1.0,WILLISTON,ND
9757,58831,99999,1.0,1.0,1.0,1.0,ALEXANDER,ND
9758,58833,99999,1.0,1.0,1.0,1.0,AMBROSE,ND
9759,58835,99999,1.0,1.0,1.0,1.0,ARNEGARD,ND
9760,58838,99999,1.0,1.0,1.0,1.0,CARTWRIGHT,ND
9761,58843,48780,1.0,1.0,1.0,1.0,EPPING,ND
9762,58844,99999,1.0,1.0,1.0,1.0,FORTUNA,ND
9763,58847,99999,1.0,1.0,1.0,1.0,KEENE,ND
9764,58849,48780,1.0,1.0,1.0,1.0,RAY,ND
9765,59001,13740,1.0,1.0,1.0,1.0,ABSAROKEE,MT
9766,59002,13740,1.0,1.0,1.0,1.0,ACTON,MT
9767,59003,99999,1.0,1.0,1.0,1.0,ASHLAND,MT
9768,59004,99999,0.0,1.0,0.0,1.0,ASHLAND,MT
9769,59006,13740,1.0,1.0,1.0,1.0,BALLANTINE,MT
9770,59007,13740,1.0,1.0,1.0,1.0,BEARCREEK,MT
9771,59008,13740,1.0,1.0,1.0,1.0,BELFRY,MT
9772,59010,99999,1.0,1.0,1.0,1.0,BIGHORN,MT
9773,58853,48780,1.0,0.0,1.0,1.0,TRENTON,ND
9774,58854,99999,1.0,1.0,1.0,1.0,WATFORD CITY,ND
9775,59012,99999,1.0,1.0,1.0,1.0,BIRNEY,MT
9776,59013,13740,1.0,0.0,1.0,1.0,BOYD,MT
9777,59014,13740,1.0,1.0,1.0,1.0,BRIDGER,MT
9778,59102,13740,1.0,1.0,1.0,1.0,BILLINGS,MT
9779,59103,13740,1.0,1.0,1.0,1.0,BILLINGS,MT
9780,59104,13740,1.0,1.0,1.0,1.0,BILLINGS,MT
9781,59105,13740,1.0,1.0,1.0,1.0,BILLINGS,MT
9782,59106,13740,1.0,1.0,1.0,1.0,BILLINGS,MT
9783,59107,13740,1.0,1.0,1.0,1.0,BILLINGS,MT
9784,59108,13740,1.0,1.0,1.0,1.0,BILLINGS,MT
9785,59111,13740,0.0,1.0,0.0,1.0,BILLINGS,MT
9786,59201,99999,1.0,1.0,1.0,1.0,WOLF POINT,MT
9787,59211,99999,1.0,1.0,1.0,1.0,ANTELOPE,MT
9788,59212,99999,1.0,1.0,1.0,1.0,BAINVILLE,MT
9789,59213,99999,1.0,1.0,1.0,1.0,BROCKTON,MT
9790,59214,99999,1.0,1.0,1.0,1.0,BROCKWAY,MT
9791,59215,99999,1.0,1.0,1.0,1.0,CIRCLE,MT
9792,59217,99999,1.0,0.0,1.0,1.0,CRANE,MT
